=== FULL VISUAL ODOMETRY PIPELINE ===
Initial map points: 115
frame 000 | status=init_identity | map pts=115
frame 001 | status=init_two_view | map pts=115
frame 068 | status=ok | matches=19 | assoc_acc=0.0000 | reproj_mean=214.824468 px
frame 069 | status=ok_no_valid_reprojection | matches=14 | assoc_acc=0.0000 | reproj_mean=NaN
frame 070 | status=ok | matches=12 | assoc_acc=0.0000 | reproj_mean=142.716073 px
frame 071 | status=ok | matches=13 | assoc_acc=0.0000 | reproj_mean=219.270476 px
frame 072 | status=ok_no_valid_reprojection | matches=12 | assoc_acc=0.0000 | reproj_mean=NaN
frame 073 | status=ok | matches=19 | assoc_acc=0.0000 | reproj_mean=256.058732 px
frame 074 | status=ok | matches=23 | assoc_acc=0.0000 | reproj_mean=345.786389 px
frame 075 | status=ok | matches=26 | assoc_acc=0.0000 | reproj_mean=219.906902 px
frame 076 | status=ok | matches=27 | assoc_acc=0.0370 | reproj_mean=160.988026 px
frame 077 | status=ok | matches=32 | assoc_acc=0.1562 | reproj_mean=432.872892 px
frame 078 | status=ok | matches=42 | assoc_acc=0.4762 | reproj_mean=210.383730 px
frame 079 | status=ok | matches=45 | assoc_acc=0.5111 | reproj_mean=192.024770 px
frame 080 | status=ok | matches=49 | assoc_acc=0.3673 | reproj_mean=624.811293 px
frame 081 | status=ok_no_valid_reprojection | matches=48 | assoc_acc=0.2708 | reproj_mean=NaN
frame 082 | status=ok_no_valid_reprojection | matches=46 | assoc_acc=0.3261 | reproj_mean=NaN
frame 083 | status=ok | matches=49 | assoc_acc=0.3061 | reproj_mean=284.382638 px
frame 084 | status=ok | matches=54 | assoc_acc=0.2963 | reproj_mean=219.432515 px
frame 085 | status=ok | matches=53 | assoc_acc=0.3396 | reproj_mean=218.594607 px
frame 086 | status=ok_no_valid_reprojection | matches=54 | assoc_acc=0.3889 | reproj_mean=NaN
frame 087 | status=ok_no_valid_reprojection | matches=53 | assoc_acc=0.4340 | reproj_mean=NaN
frame 088 | status=ok_no_valid_reprojection | matches=54 | assoc_acc=0.4630 | reproj_mean=NaN
frame 089 | status=ok_no_valid_reprojection | matches=57 | assoc_acc=0.4912 | reproj_mean=NaN
frame 090 | status=ok_no_valid_reprojection | matches=57 | assoc_acc=0.5088 | reproj_mean=NaN
frame 091 | status=ok_no_valid_reprojection | matches=60 | assoc_acc=0.5000 | reproj_mean=NaN
frame 092 | status=ok | matches=60 | assoc_acc=0.5333 | reproj_mean=512.471684 px
frame 093 | status=ok | matches=54 | assoc_acc=0.5370 | reproj_mean=239.101274 px
frame 094 | status=ok | matches=53 | assoc_acc=0.5849 | reproj_mean=294.147818 px
frame 095 | status=ok_no_valid_reprojection | matches=54 | assoc_acc=0.6481 | reproj_mean=NaN
frame 096 | status=ok_no_valid_reprojection | matches=59 | assoc_acc=0.6780 | reproj_mean=NaN
frame 097 | status=ok_no_valid_reprojection | matches=60 | assoc_acc=0.7167 | reproj_mean=NaN
frame 098 | status=ok_no_valid_reprojection | matches=63 | assoc_acc=0.7460 | reproj_mean=NaN
frame 099 | status=ok_no_valid_reprojection | matches=67 | assoc_acc=0.7612 | reproj_mean=NaN
frame 100 | status=ok_no_valid_reprojection | matches=72 | assoc_acc=0.7917 | reproj_mean=NaN
frame 101 | status=ok_no_valid_reprojection | matches=77 | assoc_acc=0.8182 | reproj_mean=NaN
frame 102 | status=ok_no_valid_reprojection | matches=78 | assoc_acc=0.8205 | reproj_mean=NaN
frame 103 | status=ok | matches=77 | assoc_acc=0.8701 | reproj_mean=142.777188 px
frame 104 | status=ok | matches=77 | assoc_acc=0.9091 | reproj_mean=72.328105 px
frame 105 | status=ok | matches=76 | assoc_acc=0.8816 | reproj_mean=90.283697 px
frame 106 | status=ok | matches=73 | assoc_acc=0.8767 | reproj_mean=82.980484 px
frame 107 | status=ok | matches=73 | assoc_acc=0.8356 | reproj_mean=88.052421 px
frame 108 | status=ok | matches=74 | assoc_acc=0.8108 | reproj_mean=96.315223 px
frame 109 | status=ok | matches=75 | assoc_acc=0.8000 | reproj_mean=99.269441 px
frame 110 | status=ok | matches=71 | assoc_acc=0.7324 | reproj_mean=101.677583 px
frame 111 | status=ok | matches=71 | assoc_acc=0.7042 | reproj_mean=106.537245 px
frame 112 | status=ok | matches=62 | assoc_acc=0.3387 | reproj_mean=130.560911 px
frame 113 | status=ok_no_valid_reprojection | matches=51 | assoc_acc=0.1569 | reproj_mean=NaN
frame 114 | status=ok | matches=45 | assoc_acc=0.0000 | reproj_mean=232.886720 px
frame 115 | status=ok | matches=47 | assoc_acc=0.0000 | reproj_mean=239.642702 px
frame 116 | status=ok_no_valid_reprojection | matches=44 | assoc_acc=0.0000 | reproj_mean=NaN
frame 117 | status=ok_no_valid_reprojection | matches=42 | assoc_acc=0.0000 | reproj_mean=NaN
frame 118 | status=ok_no_valid_reprojection | matches=43 | assoc_acc=0.0000 | reproj_mean=NaN
frame 119 | status=ok | matches=39 | assoc_acc=0.0000 | reproj_mean=315.360125 px
frame 120 | status=ok | matches=40 | assoc_acc=0.0000 | reproj_mean=237.219259 px

Processed frames: 121
Successful frames: 71
Frames with pose estimates from DLT: 69
Average associations on tracked frames: 50.24
Average reprojection error over valid tracked frames: 224.537246 px
Saved full VO results to results/vo_full_results.mat
=== FULL PIPELINE COMPLETED ===
